STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: YES,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"25173 - ROBSON","9","47","236",20,"77"
"25174 - ROCK CREEK","14","77","248",31,"121"
"25180 - SAXON","5","26","75",35,"135"
"25209 - WHITESVILLE","20","120","280",43,"167"
"25617 - DAVIN","6","85","282",30,"117"
"25801 - BECKLEY","545","2,975","13,804",22,"84"
"25811 - AMIGO","2","6","52",12,"45"
"25812 - ANSTED","19","99","436",23,"88"
"25813 - BEAVER","148","867","3,399",26,"99"
"25817 - BOLT","7","32","196",16,"64"
"25820 - CAMP CREEK","12","65","209",31,"121"
"25823 - COAL CITY","24","110","724",15,"59"
"25825 - COOL RIDGE","24","117","655",18,"70"
"25827 - CRAB ORCHARD","67","397","1,829",22,"84"
"25831 - DANESE","23","116","716",16,"63"
"25832 - DANIELS","70","348","1,595",22,"85"
"25837 - EDMOND","4","25","88",28,"111"
"25839 - FAIRDALE","16","98","418",23,"91"
"25840 - FAYETTEVILLE","145","753","2,985",25,"98"
"25841 - FLAT TOP","8","47","179",26,"102"
"25843 - GHENT","17","95","300",32,"123"
"25844 - GLEN DANIEL","29","173","464",37,"145"
"25845 - GLEN FORK","18","82","498",17,"64"
"25846 - GLEN JEAN","7","28","129",22,"84"
"25848 - GLEN ROGERS","9","45","331",14,"53"
"25849 - GLEN WHITE","1","8","93",9,"33"
"25854 - HICO","21","99","417",24,"92"
"25857 - JOSEPHINE","8","32","157",20,"79"
"25862 - LANSING","1","7","137",5,"20"
"25864 - LAYLAND","9","51","191",27,"104"
"25865 - LESTER","22","118","527",22,"87"
"25868 - LOOKOUT","11","54","228",24,"92"
"25870 - MABEN","6","35","105",33,"130"
"25876 - SAULSVILLE","5","29","162",18,"70"
"25880 - MOUNT HOPE","130","702","3,047",23,"90"
"25882 - MULLENS","45","212","1,019",21,"81"
"25901 - OAK HILL","191","1,048","5,013",21,"81"
"25902 - ODD","8","37","221",17,"65"
"25908 - PRINCEWICK","20","104","409",25,"99"
"25913 - RAVENCLIFF","5","20","97",21,"80"
"25915 - RHODELL","10","48","169",28,"111"
"25917 - SCARBRO","52","273","1,132",24,"94"
"25918 - SHADY SPRING","69","345","1,364",25,"98"
"25920 - SLAB FORK","2","9","56",16,"63"
"25922 - SPANISHBURG","8","43","133",32,"126"
"25928 - STEPHENSON","13","62","158",39,"153"
"25932 - SURVEYOR","6","33","190",17,"68"
"25936 - THURMOND","1","5","31",16,"63"
"25938 - VICTOR","25","125","654",19,"74"
"25951 - HINTON","88","430","2,227",19,"75"
"25958 - CHARMCO","13","69","506",14,"53"
"25962 - RAINELLE","64","353","1,620",22,"85"
"25969 - JUMPING BRANCH","16","86","462",19,"72"
"25971 - LERONA","20","114","458",25,"97"
"25976 - MEADOW BRIDGE","39","186","1,165",16,"62"
"25977 - MEADOW CREEK","1","6","16",38,"146"
"25978 - NIMITZ","10","52","261",20,"78"
"25979 - PIPESTEM","12","55","313",18,"68"
"25981 - QUINWOOD","22","128","586",22,"85"
"25984 - RUPERT","26","127","585",22,"84"
"25985 - SANDSTONE","12","59","210",28,"109"
"25989 - WHITE OAK","5","27","170",16,"62"
"26656 - BELVA","17","109","450",24,"94"
"26680 - NALLEN","8","35","165",21,"83"
"26690 - SWISS","7","55","231",24,"93"
"83322 - CORRAL","0","0","10",0,"0"
"83327 - FAIRFIELD","8","48","489",10,"38"
"83602 - BANKS","0","0","8",0,"0"
"83604 - BRUNEAU","17","93","409",23,"88"
"83605 - CALDWELL","293","2,932","14,498",20,"79"
"83607 - CALDWELL","222","2,332","10,858",22,"84"
"83610 - CAMBRIDGE","12","78","435",18,"70"
"83611 - CASCADE","32","241","1,315",18,"71"
"83612 - COUNCIL","16","126","842",15,"58"
"83615 - DONNELLY","9","111","956",12,"45"
"83616 - EAGLE","185","2,092","10,124",21,"80"
"83617 - EMMETT","179","1,370","6,328",22,"84"
"83619 - FRUITLAND","64","521","2,751",19,"74"
"83622 - GARDEN VALLEY","23","229","854",27,"104"
"83623 - GLENNS FERRY","18","119","573",21,"81"
"83624 - GRAND VIEW","20","90","334",27,"105"
"83626 - GREENLEAF","14","131","517",25,"99"
"83627 - HAMMETT","8","61","265",23,"90"
"83628 - HOMEDALE","44","308","1,644",19,"73"
"83629 - HORSESHOE BEND","18","179","805",22,"87"
"83631 - IDAHO CITY","17","156","622",25,"98"
"83632 - INDIAN VALLEY","4","20","174",12,"45"
"83633 - KING HILL","4","26","202",13,"50"
"83634 - KUNA","193","2,496","10,800",23,"90"
"83636 - LETHA","2","19","84",23,"88"
"83637 - LOWMAN","1","15","105",14,"56"
"83638 - MCCALL","65","626","2,895",22,"84"
"83639 - MARSING","26","183","1,162",16,"61"
"83641 - MELBA","39","371","1,620",23,"89"
"83642 - MERIDIAN","303","3,759","16,670",23,"88"
"83643 - MESA","0","0","53",0,"0"
"83644 - MIDDLETON","73","767","3,872",20,"77"
"83645 - MIDVALE","11","60","289",21,"81"
"83646 - MERIDIAN","335","4,266","20,780",21,"80"
"83647 - MOUNTAIN HOME","231","1,904","8,394",23,"88"
"83648 - MOUNTAIN HOME AFB","37","402","1,191",34,"131"
"83650 - MURPHY","3","22","128",17,"67"
"83651 - NAMPA","275","2,621","12,086",22,"84"
"83654 - NEW MEADOWS","19","185","814",23,"88"
"83655 - NEW PLYMOUTH","52","420","1,685",25,"97"
"83657 - OLA","3","23","96",24,"93"
"83660 - PARMA","76","601","2,616",23,"89"
"83661 - PAYETTE","123","858","4,035",21,"83"
"83666 - PLACERVILLE","1","8","31",26,"100"
"83669 - STAR","39","497","3,033",16,"64"
"83670 - SWEET","5","43","197",22,"85"
"83672 - WEISER","113","725","3,418",21,"83"
"83676 - WILDER","46","386","1,865",21,"81"
"83677 - YELLOW PINE","2","17","36",47,"184"
"83686 - NAMPA","401","4,164","19,302",22,"84"
"83687 - NAMPA","270","2,803","12,053",23,"90"
"83702 - BOISE","296","2,500","11,419",22,"85"
"83703 - BOISE","178","1,658","8,276",20,"78"
"83704 - BOISE","390","4,408","20,499",22,"84"
"83705 - BOISE","303","3,015","14,085",21,"83"
"83706 - BOISE","370","3,701","16,621",22,"87"
"83709 - BOISE","363","4,107","22,633",18,"71"
"83712 - BOISE","72","726","3,476",21,"81"
"83713 - BOISE","210","2,388","11,738",20,"79"
"83714 - GARDEN CITY","199","2,225","9,957",22,"87"
"83716 - BOISE","127","1,367","6,702",20,"79"
"89832 - OWYHEE","11","67","551",12,"47"
"97901 - ADRIAN","7","47","257",18,"71"
"97903 - BROGAN","2","21","237",9,"34"
"97906 - HARPER","25","224","667",34,"131"
"97907 - HUNTINGTON","7","131","346",38,"147"
"97908 - IRONSIDE","5","53","195",27,"106"
"97909 - JAMIESON","2","16","41",39,"152"
"97910 - JORDAN VALLEY","12","57","226",25,"98"
"97911 - JUNTURA","4","29","87",33,"130"
"97913 - NYSSA","65","324","1,616",20,"78"
"97914 - ONTARIO","249","1,299","5,557",23,"91"
"97917 - RIVERSIDE","0","0","9",0,"0"
"97918 - VALE","64","367","1,518",24,"94"
"01005 - BARRE","6","431","2,068",21,"81"
"01010 - BRIMFIELD","41","353","1,460",24,"94"
"01031 - GILBERTVILLE","2","183","1,035",18,"69"
"01068 - OAKHAM","0","0","711",0,"0"
"01082 - WARE","112","937","3,916",24,"93"
"01092 - WEST WARREN","1","100","527",19,"74"
"01331 - ATHOL","23","1,650","5,480",30,"117"
"01366 - PETERSHAM","0","0","440",0,"0"
"01368 - ROYALSTON","0","0","605",0,"0"
"01420 - FITCHBURG","45","3,180","16,977",19,"73"
"01430 - ASHBURNHAM","7","435","2,216",20,"76"
"01431 - ASHBY","4","274","1,187",23,"90"
"01432 - AYER","10","644","3,027",21,"83"
"01434 - DEVENS","3","207","723",29,"111"
"01436 - BALDWINVILLE","2","186","1,397",13,"52"
"01440 - GARDNER","28","2,359","9,482",25,"97"
"01450 - GROTON","18","1,514","4,001",38,"147"
"01451 - HARVARD","6","319","1,729",18,"72"
"01452 - HUBBARDSTON","2","134","1,656",8,"31"
"01453 - LEOMINSTER","55","4,323","16,893",26,"100"
"01460 - LITTLETON","11","763","3,427",22,"87"
"01462 - LUNENBURG","16","1,135","3,638",31,"121"
"01463 - PEPPERELL","18","1,324","4,591",29,"112"
"01464 - SHIRLEY","10","945","3,316",29,"111"
"01468 - TEMPLETON","4","273","1,981",14,"54"
"01469 - TOWNSEND","8","525","2,612",20,"78"
"01473 - WESTMINSTER","12","773","2,678",29,"112"
"01474 - WEST TOWNSEND","3","251","977",26,"100"
"01475 - WINCHENDON","18","1,416","4,158",34,"133"
"01501 - AUBURN","30","1,714","6,785",25,"98"
"01503 - BERLIN","2","156","1,143",14,"53"
"01504 - BLACKSTONE","12","841","3,344",25,"98"
"01505 - BOYLSTON","7","443","1,718",26,"100"
"01506 - BROOKFIELD","6","415","1,451",29,"111"
"01507 - CHARLTON","14","1,190","4,862",25,"95"
"01510 - CLINTON","15","1,037","5,280",20,"76"
"01515 - EAST BROOKFIELD","3","159","941",17,"66"
"01516 - DOUGLAS","14","955","2,930",33,"127"
"01518 - FISKDALE","1","52","1,178",4,"17"
"01519 - GRAFTON","10","741","2,413",31,"119"
"01520 - HOLDEN","21","1,319","4,751",28,"108"
"01522 - JEFFERSON","2","121","1,191",10,"40"
"01523 - LANCASTER","13","925","3,067",30,"117"
"01524 - LEICESTER","8","573","2,794",21,"80"
"01527 - MILLBURY","17","1,150","5,143",22,"87"
"01529 - MILLVILLE","5","403","1,206",33,"130"
"01531 - NEW BRAINTREE","2","105","335",31,"122"
"01532 - NORTHBOROUGH","20","1,320","5,016",26,"102"
"01534 - NORTHBRIDGE","3","225","2,398",9,"37"
"01535 - NORTH BROOKFIELD","4","270","1,981",14,"53"
"01536 - NORTH GRAFTON","8","519","2,416",22,"84"
"01537 - NORTH OXFORD","4","235","1,014",23,"90"
"01540 - OXFORD","18","1,362","4,643",29,"114"
"01541 - PRINCETON","1","61","1,294",5,"18"
"01542 - ROCHDALE","4","270","661",41,"159"
"01543 - RUTLAND","8","628","2,759",23,"89"
"01545 - SHREWSBURY","44","3,180","13,044",24,"95"
"01550 - SOUTHBRIDGE","28","2,049","7,182",29,"111"
"01560 - SOUTH GRAFTON","5","298","1,548",19,"75"
"01562 - SPENCER","13","894","4,716",19,"74"
"01564 - STERLING","8","535","2,919",18,"71"
"01566 - STURBRIDGE","7","480","2,326",21,"80"
"01568 - UPTON","5","361","2,489",15,"56"
"01569 - UXBRIDGE","14","1,074","5,062",21,"83"
"01570 - WEBSTER","24","1,953","7,064",28,"108"
"01571 - DUDLEY","10","724","4,602",16,"61"
"01581 - WESTBOROUGH","23","1,511","6,652",23,"88"
"01583 - WEST BOYLSTON","16","1,205","3,093",39,"152"
"01585 - WEST BROOKFIELD","13","939","3,391",28,"108"
"01588 - WHITINSVILLE","14","1,092","3,422",32,"124"
"01590 - SUTTON","11","719","3,229",22,"87"
"01602 - WORCESTER","38","2,612","10,114",26,"100"
"01603 - WORCESTER","33","2,736","9,274",30,"115"
"01604 - WORCESTER","54","4,014","15,080",27,"104"
"01605 - WORCESTER","38","3,022","11,199",27,"105"
"01606 - WORCESTER","29","1,912","8,082",24,"92"
"01607 - WORCESTER","11","822","3,436",24,"93"
"01608 - WORCESTER","5","411","1,786",23,"90"
"01609 - WORCESTER","32","2,457","9,530",26,"100"
"01610 - WORCESTER","44","3,305","11,096",30,"116"
"01611 - CHERRY VALLEY","1","95","954",10,"39"
"01612 - PAXTON","7","555","1,796",31,"120"
"01701 - FRAMINGHAM","43","3,151","12,938",24,"95"
"01702 - FRAMINGHAM","48","4,226","17,232",25,"95"
"01718 - ACTON","0","0","283",0,"0"
"01719 - BOXBOROUGH","7","504","1,880",27,"104"
"01720 - ACTON","26","1,813","7,961",23,"89"
"01721 - ASHLAND","23","1,927","6,530",30,"115"
"01730 - BEDFORD","17","1,203","5,239",23,"89"
"01731 - HANSCOM AFB","2","118","364",32,"126"
"01740 - BOLTON","7","560","1,627",34,"134"
"01741 - CARLISLE","7","541","1,861",29,"113"
"01742 - CONCORD","32","2,059","7,114",29,"113"
"01745 - FAYVILLE","3","161","161",100,"389"
"01746 - HOLLISTON","20","1,296","4,982",26,"101"
"01747 - HOPEDALE","6","480","2,476",19,"75"
"01748 - HOPKINTON","21","1,624","5,197",31,"122"
"01749 - HUDSON","23","1,709","7,938",22,"84"
"01752 - MARLBOROUGH","64","5,056","16,448",31,"120"
"01754 - MAYNARD","10","779","4,329",18,"70"
"01756 - MENDON","6","434","1,885",23,"90"
"01757 - MILFORD","49","3,532","11,328",31,"121"
"01760 - NATICK","34","2,325","13,156",18,"69"
"01770 - SHERBORN","4","295","1,469",20,"78"
"01772 - SOUTHBOROUGH","15","924","3,070",30,"117"
"01773 - LINCOLN","5","351","2,094",17,"65"
"01775 - STOW","11","723","2,586",28,"109"
"01776 - SUDBURY","20","1,406","6,324",22,"87"
"01778 - WAYLAND","19","1,324","5,090",26,"101"
"01801 - WOBURN","59","4,299","16,258",26,"103"
"01803 - BURLINGTON","35","2,608","10,151",26,"100"
"01810 - ANDOVER","27","1,931","12,283",16,"61"
"01821 - BILLERICA","40","3,027","12,316",25,"96"
"01824 - CHELMSFORD","36","2,744","9,911",28,"108"
"01826 - DRACUT","40","3,020","12,360",24,"95"
"01827 - DUNSTABLE","5","401","1,135",35,"137"
"01830 - HAVERHILL","28","2,138","10,692",20,"78"
"01832 - HAVERHILL","25","1,999","9,413",21,"83"
"01833 - GEORGETOWN","8","513","2,998",17,"67"
"01834 - GROVELAND","11","834","2,578",32,"126"
"01835 - HAVERHILL","11","910","5,452",17,"65"
"01840 - LAWRENCE","4","291","2,124",14,"53"
"01841 - LAWRENCE","88","6,808","19,587",35,"135"
"01843 - LAWRENCE","37","2,774","10,039",28,"108"
"01844 - METHUEN","69","4,818","18,542",26,"101"
"01845 - NORTH ANDOVER","46","3,275","10,755",31,"118"
"01850 - LOWELL","22","1,572","6,459",24,"95"
"01851 - LOWELL","41","2,977","12,676",24,"91"
"01852 - LOWELL","44","3,552","15,566",23,"89"
"01854 - LOWELL","31","2,506","12,947",19,"75"
"01860 - MERRIMAC","11","954","2,823",34,"131"
"01862 - NORTH BILLERICA","12","824","3,786",22,"85"
"01863 - NORTH CHELMSFORD","9","630","3,935",16,"62"
"01864 - NORTH READING","18","1,379","5,754",24,"93"
"01867 - READING","27","1,926","9,687",20,"77"
"01876 - TEWKSBURY","39","3,048","11,844",26,"100"
"01879 - TYNGSBORO","13","1,087","4,615",24,"92"
"01880 - WAKEFIELD","32","2,152","10,476",21,"80"
"01886 - WESTFORD","34","2,492","7,982",31,"121"
"01887 - WILMINGTON","30","2,405","8,717",28,"107"
"01890 - WINCHESTER","22","1,571","7,925",20,"77"
"01901 - LYNN","3","222","961",23,"90"
"01902 - LYNN","74","5,856","19,305",30,"118"
"01904 - LYNN","22","1,563","7,735",20,"79"
"01905 - LYNN","43","3,005","10,638",28,"110"
"01906 - SAUGUS","33","2,378","11,413",21,"81"
"01907 - SWAMPSCOTT","21","1,297","5,673",23,"89"
"01908 - NAHANT","5","291","1,518",19,"75"
"01913 - AMESBURY","25","1,690","6,988",24,"94"
"01915 - BEVERLY","54","3,723","16,869",22,"86"
"01921 - BOXFORD","8","513","2,939",18,"68"
"01922 - BYFIELD","5","331","1,112",30,"116"
"01923 - DANVERS","35","2,915","12,125",24,"94"
"01929 - ESSEX","4","254","1,423",18,"69"
"01930 - GLOUCESTER","42","3,407","12,969",26,"102"
"01938 - IPSWICH","22","1,637","5,379",30,"118"
"01940 - LYNNFIELD","19","1,199","4,580",26,"102"
"01944 - MANCHESTER","6","367","1,977",19,"72"
"01945 - MARBLEHEAD","33","1,859","7,572",25,"96"
"01949 - MIDDLETON","10","764","3,009",25,"99"
"01950 - NEWBURYPORT","26","1,713","6,914",25,"96"
"01951 - NEWBURY","4","294","1,499",20,"76"
"01952 - SALISBURY","10","751","3,659",21,"80"
"01960 - PEABODY","74","5,834","22,192",26,"102"
"01966 - ROCKPORT","7","463","3,082",15,"58"
"01969 - ROWLEY","6","563","2,199",26,"100"
"01970 - SALEM","70","5,190","18,249",28,"111"
"01982 - SOUTH HAMILTON","10","499","2,940",17,"66"
"01983 - TOPSFIELD","5","320","1,939",17,"64"
"01984 - WENHAM","5","347","2,042",17,"66"
"01985 - WEST NEWBURY","4","253","1,524",17,"65"
"02019 - BELLINGHAM","14","1,118","6,589",17,"66"
"02021 - CANTON","22","1,744","8,090",22,"84"
"02025 - COHASSET","10","722","2,873",25,"98"
"02026 - DEDHAM","40","2,635","10,979",24,"93"
"02030 - DOVER","4","269","1,886",14,"55"
"02032 - EAST WALPOLE","3","194","1,449",13,"52"
"02035 - FOXBORO","12","804","6,660",12,"47"
"02038 - FRANKLIN","43","3,502","12,066",29,"113"
"02043 - HINGHAM","20","1,422","8,048",18,"69"
"02045 - HULL","11","779","4,382",18,"69"
"02050 - MARSHFIELD","27","1,950","9,872",20,"77"
"02052 - MEDFIELD","8","583","4,025",15,"56"
"02053 - MEDWAY","11","720","4,645",16,"60"
"02054 - MILLIS","10","678","3,140",22,"84"
"02056 - NORFOLK","13","1,103","4,363",25,"98"
"02061 - NORWELL","12","753","3,673",21,"80"
"02062 - NORWOOD","37","2,596","12,166",21,"83"
"02066 - SCITUATE","24","1,547","6,621",23,"91"
"02067 - SHARON","30","2,105","6,321",33,"130"
"02071 - SOUTH WALPOLE","0","0","490",0,"0"
"02072 - STOUGHTON","40","3,142","12,368",25,"99"
"02081 - WALPOLE","21","1,745","7,584",23,"90"
"02090 - WESTWOOD","13","956","5,470",18,"68"
"02093 - WRENTHAM","17","1,567","4,354",36,"140"
"02108 - BOSTON","7","427","1,818",24,"91"
"02109 - BOSTON","8","556","1,939",29,"112"
"02110 - BOSTON","5","433","1,196",36,"141"
"02111 - BOSTON","23","1,653","3,777",44,"170"
"02113 - BOSTON","14","1,065","3,506",30,"118"
"02114 - BOSTON","23","1,581","6,264",25,"98"
"02115 - BOSTON","41","3,491","14,587",24,"93"
"02116 - BOSTON","37","2,602","10,085",26,"100"
"02118 - BOSTON","60","4,609","12,278",38,"146"
"02119 - ROXBURY","62","4,513","12,697",36,"138"
"02120 - ROXBURY CROSSING","22","1,817","8,684",21,"81"
"02121 - DORCHESTER","50","3,620","10,731",34,"131"
"02122 - DORCHESTER","48","3,398","10,383",33,"127"
"02124 - DORCHESTER CENTER","114","7,685","20,291",38,"147"
"02125 - DORCHESTER","70","4,802","14,431",33,"129"
"02126 - MATTAPAN","40","2,868","9,702",30,"115"
"02127 - SOUTH BOSTON","52","3,366","14,608",23,"90"
"02128 - EAST BOSTON","80","5,728","17,552",33,"127"
"02129 - CHARLESTOWN","36","2,452","7,330",34,"130"
"02130 - JAMAICA PLAIN","74","4,972","15,811",31,"122"
"02131 - ROSLINDALE","64","4,023","12,532",32,"125"
"02132 - WEST ROXBURY","44","2,855","11,177",26,"99"
"02134 - ALLSTON","51","3,827","10,937",35,"136"
"02135 - BRIGHTON","113","8,077","21,672",37,"145"
"02136 - HYDE PARK","57","4,006","13,793",29,"113"
"02138 - CAMBRIDGE","77","5,509","17,770",31,"121"
"02139 - CAMBRIDGE","73","5,540","17,348",32,"124"
"02140 - CAMBRIDGE","36","2,375","8,567",28,"108"
"02141 - CAMBRIDGE","31","2,197","5,983",37,"143"
"02142 - CAMBRIDGE","10","807","2,237",36,"140"
"02143 - SOMERVILLE","62","4,234","11,751",36,"140"
"02144 - SOMERVILLE","44","2,974","11,062",27,"105"
"02145 - SOMERVILLE","55","3,993","11,782",34,"132"
"02148 - MALDEN","116","8,475","27,685",31,"119"
"02149 - EVERETT","78","6,290","18,611",34,"132"
"02150 - CHELSEA","60","4,555","14,766",31,"120"
"02151 - REVERE","94","6,994","23,703",30,"115"
"02152 - WINTHROP","27","1,770","7,844",23,"88"
"02155 - MEDFORD","99","6,881","26,168",26,"102"
"02163 - BOSTON","5","539","1,660",33,"126"
"02169 - QUINCY","72","5,047","25,438",20,"77"
"02170 - QUINCY","38","2,731","9,372",29,"113"
"02171 - QUINCY","34","2,654","8,163",33,"127"
"02176 - MELROSE","50","3,221","11,021",29,"114"
"02180 - STONEHAM","24","1,740","9,240",19,"73"
"02184 - BRAINTREE","57","4,151","14,852",28,"109"
"02186 - MILTON","46","2,872","10,496",27,"106"
"02188 - WEYMOUTH","16","1,126","6,631",17,"66"
"02189 - EAST WEYMOUTH","27","1,940","6,324",31,"119"
"02190 - SOUTH WEYMOUTH","24","1,519","6,501",23,"91"
"02191 - NORTH WEYMOUTH","7","630","3,997",16,"61"
"02199 - BOSTON","2","141","657",22,"84"
"02210 - BOSTON","1","84","1,076",8,"30"
"02215 - BOSTON","53","4,805","15,422",31,"121"
"02301 - BROCKTON","105","7,344","25,407",29,"112"
"02302 - BROCKTON","46","3,131","12,812",24,"95"
"02322 - AVON","4","313","1,932",16,"63"
"02324 - BRIDGEWATER","38","2,938","11,171",26,"102"
"02330 - CARVER","20","1,410","4,701",30,"117"
"02332 - DUXBURY","21","1,403","5,140",27,"106"
"02333 - EAST BRIDGEWATER","16","1,235","5,451",23,"88"
"02338 - HALIFAX","6","461","3,112",15,"58"
"02339 - HANOVER","21","1,408","4,975",28,"110"
"02341 - HANSON","10","707","3,741",19,"74"
"02343 - HOLBROOK","16","1,070","4,595",23,"91"
"02346 - MIDDLEBORO","37","2,681","9,075",30,"115"
"02347 - LAKEVILLE","10","793","3,858",21,"80"
"02351 - ABINGTON","17","1,241","6,548",19,"74"
"02359 - PEMBROKE","20","1,382","6,578",21,"82"
"02360 - PLYMOUTH","69","5,125","22,692",23,"88"
"02364 - KINGSTON","19","1,375","4,812",29,"111"
"02367 - PLYMPTON","3","194","1,109",18,"68"
"02368 - RANDOLPH","51","4,377","13,898",32,"123"
"02370 - ROCKLAND","19","1,393","7,114",20,"76"
"02379 - WEST BRIDGEWATER","12","759","2,855",27,"103"
"02382 - WHITMAN","23","1,420","5,612",25,"98"
"02420 - LEXINGTON","26","1,811","5,570",33,"127"
"02421 - LEXINGTON","13","996","6,408",16,"60"
"02445 - BROOKLINE","36","2,510","8,063",31,"121"
"02446 - BROOKLINE","38","2,991","13,088",23,"89"
"02451 - WALTHAM","30","1,952","7,168",27,"106"
"02452 - WALTHAM","23","1,889","7,780",24,"94"
"02453 - WALTHAM","46","3,420","13,340",26,"100"
"02458 - NEWTON","25","1,713","5,715",30,"117"
"02459 - NEWTON CENTER","27","1,938","7,179",27,"105"
"02460 - NEWTONVILLE","16","999","3,425",29,"113"
"02461 - NEWTON HIGHLANDS","9","669","2,918",23,"89"
"02462 - NEWTON LOWER FALLS","2","118","539",22,"85"
"02464 - NEWTON UPPER FALLS","3","188","1,234",15,"59"
"02465 - WEST NEWTON","19","1,213","4,318",28,"109"
"02466 - AUBURNDALE","6","536","3,725",14,"56"
"02467 - CHESTNUT HILL","34","2,633","10,347",25,"99"
"02468 - WABAN","8","561","2,179",26,"100"
"02472 - WATERTOWN","63","4,203","14,364",29,"114"
"02474 - ARLINGTON","52","3,300","11,165",30,"115"
"02476 - ARLINGTON","27","1,678","6,471",26,"101"
"02478 - BELMONT","38","2,217","9,688",23,"89"
"02481 - WELLESLEY HILLS","22","1,372","5,331",26,"100"
"02482 - WELLESLEY","18","1,462","5,215",28,"109"
"02492 - NEEDHAM","29","1,771","6,977",25,"99"
"02493 - WESTON","18","1,011","4,169",24,"94"
"02494 - NEEDHAM HEIGHTS","11","723","3,496",21,"80"
"02532 - BUZZARDS BAY","18","1,309","5,830",23,"87"
"02535 - CHILMARK","4","139","510",27,"106"
"02536 - EAST FALMOUTH","28","2,267","8,423",27,"105"
"02537 - EAST SANDWICH","7","488","2,972",16,"64"
"02538 - EAST WAREHAM","9","671","2,282",29,"114"
"02539 - EDGARTOWN","10","651","1,927",34,"131"
"02540 - FALMOUTH","11","715","3,940",18,"71"
"02542 - BUZZARDS BAY","2","179","501",36,"139"
"02543 - WOODS HOLE","0","0","371",0,"0"
"02554 - NANTUCKET","19","1,262","4,325",29,"114"
"02556 - NORTH FALMOUTH","4","271","1,407",19,"75"
"02559 - POCASSET","5","368","2,081",18,"69"
"02562 - SAGAMORE BEACH","3","196","1,458",13,"52"
"02563 - SANDWICH","11","797","3,975",20,"78"
"02568 - VINEYARD HAVEN","16","890","4,639",19,"75"
"02571 - WAREHAM","12","871","4,373",20,"78"
"02576 - WEST WAREHAM","5","375","1,632",23,"89"
"02601 - HYANNIS","28","2,170","7,369",29,"115"
"02630 - BARNSTABLE","5","374","1,031",36,"141"
"02631 - BREWSTER","10","707","4,677",15,"59"
"02632 - CENTERVILLE","8","532","4,373",12,"47"
"02633 - CHATHAM","7","425","1,908",22,"87"
"02635 - COTUIT","6","461","1,684",27,"107"
"02638 - DENNIS","4","263","1,617",16,"63"
"02639 - DENNIS PORT","2","133","1,477",9,"35"
"02642 - EASTHAM","11","688","2,443",28,"110"
"02644 - FORESTDALE","6","528","1,505",35,"137"
"02645 - HARWICH","14","1,219","4,241",29,"112"
"02646 - HARWICH PORT","3","152","929",16,"64"
"02648 - MARSTONS MILLS","12","838","2,824",30,"115"
"02649 - MASHPEE","19","1,641","6,106",27,"105"
"02650 - NORTH CHATHAM","0","0","567",0,"0"
"02652 - NORTH TRURO","2","118","663",18,"69"
"02653 - ORLEANS","4","270","2,782",10,"38"
"02655 - OSTERVILLE","4","206","1,468",14,"55"
"02657 - PROVINCETOWN","5","336","1,525",22,"86"
"02659 - SOUTH CHATHAM","2","105","480",22,"85"
"02660 - SOUTH DENNIS","8","521","3,243",16,"63"
"02664 - SOUTH YARMOUTH","14","1,013","4,091",25,"96"
"02667 - WELLFLEET","4","230","1,717",13,"52"
"02668 - WEST BARNSTABLE","1","81","1,338",6,"24"
"02670 - WEST DENNIS","3","177","695",26,"99"
"02671 - WEST HARWICH","3","207","451",46,"179"
"02673 - WEST YARMOUTH","11","655","3,746",18,"68"
"02675 - YARMOUTH PORT","9","592","3,239",18,"71"
"02713 - CUTTYHUNK","0","0","30",0,"0"
"02738 - MARION","8","485","1,866",26,"101"
"02739 - MATTAPOISETT","7","469","2,418",19,"75"
"02762 - PLAINVILLE","11","923","3,528",26,"102"
"02770 - ROCHESTER","4","286","1,851",16,"60"
"02779 - BERKLEY","27","577","2,343",25,"96"
"03031 - AMHERST","11","725","4,108",18,"69"
"03032 - AUBURN","6","507","1,875",27,"105"
"03033 - BROOKLINE","5","376","1,691",22,"87"
"03034 - CANDIA","4","316","1,780",18,"69"
"03036 - CHESTER","4","302","1,705",18,"69"
"03037 - DEERFIELD","6","402","1,681",24,"93"
"03038 - DERRY","43","3,680","14,333",26,"100"
"03042 - EPPING","12","1,114","2,641",42,"164"
"03043 - FRANCESTOWN","1","105","740",14,"55"
"03044 - FREMONT","5","380","1,684",23,"88"
"03045 - GOFFSTOWN","15","1,247","5,813",22,"83"
"03046 - DUNBARTON","1","108","1,058",10,"40"
"03047 - GREENFIELD","3","240","840",29,"111"
"03048 - GREENVILLE","2","136","1,507",9,"35"
"03049 - HOLLIS","12","810","2,835",29,"111"
"03051 - HUDSON","26","1,965","9,495",21,"81"
"03052 - LITCHFIELD","9","646","2,908",22,"86"
"03053 - LONDONDERRY","22","1,543","8,937",17,"67"
"03054 - MERRIMACK","24","1,724","9,690",18,"69"
"03055 - MILFORD","15","1,036","5,882",18,"69"
"03057 - MONT VERNON","1","76","888",9,"33"
"03060 - NASHUA","41","3,003","12,955",23,"90"
"03062 - NASHUA","43","3,060","10,554",29,"113"
