STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: YES,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"31733 - CHULA","15","89","522",17,"66"
"31738 - COOLIDGE","21","202","978",21,"80"
"31743 - DE SOTO","11","60","221",27,"106"
"31744 - DOERUN","56","345","1,254",28,"107"
"31749 - ENIGMA","38","263","977",27,"105"
"31750 - FITZGERALD","379","2,117","6,975",30,"118"
"31756 - HARTSFIELD","19","119","411",29,"113"
"31763 - LEESBURG","304","2,166","8,893",24,"95"
"31764 - LESLIE","27","153","501",31,"119"
"31765 - MEIGS","40","256","1,005",26,"99"
"31768 - MOULTRIE","439","2,563","8,668",30,"115"
"31771 - NORMAN PARK","83","563","2,229",25,"98"
"31772 - OAKFIELD","9","55","181",30,"118"
"31773 - OCHLOCKNEE","41","491","1,714",29,"111"
"31774 - OCILLA","137","747","2,445",31,"119"
"31775 - OMEGA","44","273","1,009",27,"105"
"31778 - PAVO","32","288","1,027",28,"109"
"31779 - PELHAM","123","681","2,629",26,"101"
"31781 - POULAN","29","206","567",36,"141"
"31783 - REBECCA","22","105","387",27,"106"
"31784 - SALE CITY","12","64","260",25,"96"
"31787 - SMITHVILLE","23","158","699",23,"88"
"31788 - MOULTRIE","146","944","3,748",25,"98"
"31789 - SUMNER","24","125","550",23,"88"
"31790 - SYCAMORE","47","224","716",31,"122"
"31791 - SYLVESTER","204","1,287","4,640",28,"108"
"31793 - TIFTON","129","874","3,472",25,"98"
"31794 - TIFTON","528","3,201","10,529",30,"118"
"31795 - TY TY","39","230","739",31,"121"
"31796 - WARWICK","22","118","440",27,"104"
"31798 - WRAY","30","166","476",35,"136"
"39813 - ARLINGTON","70","219","674",33,"126"
"39826 - BRONWOOD","9","34","154",22,"86"
"39837 - COLQUITT","56","467","2,329",20,"78"
"39841 - DAMASCUS","30","105","334",31,"122"
"39842 - DAWSON","175","847","2,954",29,"112"
"39846 - EDISON","54","222","702",32,"123"
"39862 - LEARY","28","105","406",26,"101"
"39866 - MORGAN","42","208","551",38,"147"
"39870 - NEWTON","47","251","856",29,"114"
"39877 - PARROTT","12","86","278",31,"120"
"39886 - SHELLMAN","30","178","505",35,"137"
"01008 - BLANDFORD","22","202","663",31,"119"
"01026 - CUMMINGTON","14","95","401",24,"92"
"01201 - PITTSFIELD","281","4,943","19,615",25,"98"
"01220 - ADAMS","46","784","3,634",22,"84"
"01222 - ASHLEY FALLS","8","140","326",43,"167"
"01223 - BECKET","12","175","924",19,"74"
"01224 - BERKSHIRE","2","34","140",24,"95"
"01225 - CHESHIRE","15","249","1,385",18,"70"
"01226 - DALTON","36","633","2,660",24,"93"
"01230 - GREAT BARRINGTON","38","656","3,136",21,"81"
"01235 - HINSDALE","11","205","1,201",17,"66"
"01236 - HOUSATONIC","19","283","924",31,"119"
"01237 - LANESBOROUGH","18","243","716",34,"132"
"01238 - LEE","48","735","2,905",25,"98"
"01240 - LENOX","39","564","2,085",27,"105"
"01245 - MONTEREY","6","96","333",29,"112"
"01247 - NORTH ADAMS","95","1,829","7,124",26,"100"
"01253 - OTIS","14","235","611",39,"150"
"01254 - RICHMOND","7","104","439",24,"92"
"01255 - SANDISFIELD","5","83","327",25,"99"
"01256 - SAVOY","4","57","311",18,"71"
"01257 - SHEFFIELD","17","291","928",31,"122"
"01258 - SOUTH EGREMONT","4","72","326",22,"86"
"01259 - SOUTHFIELD","3","37","350",11,"41"
"01266 - WEST STOCKBRIDGE","10","148","617",24,"93"
"01267 - WILLIAMSTOWN","56","986","3,322",30,"115"
"01270 - WINDSOR","4","57","336",17,"66"
"01343 - DRURY","1","23","81",28,"110"
"01367 - ROWE","4","30","145",21,"81"
"05148 - LONDONDERRY","4","348","664",52,"204"
"05152 - PERU","3","38","147",26,"101"
"05201 - BENNINGTON","73","1,432","6,307",23,"88"
"05250 - ARLINGTON","20","354","1,272",28,"108"
"05251 - DORSET","12","221","534",41,"161"
"05252 - EAST ARLINGTON","2","53","193",28,"107"
"05253 - EAST DORSET","5","65","318",20,"80"
"05255 - MANCHESTER CENTER","20","307","1,858",17,"64"
"05257 - NORTH BENNINGTON","18","328","874",38,"146"
"05260 - NORTH POWNAL","4","77","179",43,"167"
"05261 - POWNAL","13","228","1,105",21,"80"
"05262 - SHAFTSBURY","12","218","1,007",22,"84"
"05340 - BONDVILLE","6","71","295",24,"94"
"05343 - JAMAICA","3","108","435",25,"97"
"05350 - READSBORO","9","124","395",31,"122"
"05352 - STAMFORD","4","67","269",25,"97"
"05363 - WILMINGTON","5","275","882",31,"121"
"05761 - PAWLET","9","95","432",22,"86"
"05775 - WEST PAWLET","8","89","295",30,"117"
"05776 - WEST RUPERT","1","15","123",12,"47"
"12007 - ALCOVE","0","0","55",0,"0"
"12008 - ALPLAUS","6","82","158",52,"202"
"12009 - ALTAMONT","44","811","3,031",27,"104"
"12010 - AMSTERDAM","156","3,076","12,287",25,"97"
"12015 - ATHENS","21","353","1,360",26,"101"
"12017 - AUSTERLITZ","4","53","183",29,"113"
"12018 - AVERILL PARK","43","816","2,998",27,"106"
"12019 - BALLSTON LAKE","61","1,236","5,851",21,"82"
"12020 - BALLSTON SPA","110","2,561","13,209",19,"75"
"12022 - BERLIN","7","119","469",25,"99"
"12023 - BERNE","9","125","687",18,"71"
"12024 - BRAINARD","3","59","102",58,"225"
"12025 - BROADALBIN","28","502","1,988",25,"98"
"12027 - BURNT HILLS","13","254","1,537",17,"64"
"12028 - BUSKIRK","4","83","438",19,"74"
"12029 - CANAAN","5","56","337",17,"65"
"12031 - CARLISLE","2","26","121",22,"84"
"12032 - CAROGA LAKE","9","100","301",33,"129"
"12033 - CASTLETON ON HUDSON","34","638","2,990",21,"83"
"12035 - CENTRAL BRIDGE","4","64","429",15,"58"
"12036 - CHARLOTTEVILLE","0","0","52",0,"0"
"12037 - CHATHAM","29","469","1,625",29,"112"
"12041 - CLARKSVILLE","2","38","95",40,"156"
"12042 - CLIMAX","4","64","247",26,"101"
"12043 - COBLESKILL","38","675","2,968",23,"88"
"12046 - COEYMANS HOLLOW","4","87","299",29,"113"
"12047 - COHOES","125","2,363","8,339",28,"110"
"12051 - COXSACKIE","13","234","1,450",16,"63"
