STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: NO,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"31716 - BACONTON","133","670","921",73,"99"
"31721 - ALBANY","826","4,747","6,563",72,"99"
"31730 - CAMILLA","496","2,550","3,791",67,"92"
"31733 - CHULA","79","433","522",83,"113"
"31738 - COOLIDGE","87","776","978",79,"108"
"31743 - DE SOTO","29","161","221",73,"99"
"31744 - DOERUN","162","882","1,254",70,"96"
"31749 - ENIGMA","109","714","977",73,"100"
"31750 - FITZGERALD","893","4,793","6,975",69,"94"
"31756 - HARTSFIELD","54","292","411",71,"97"
"31763 - LEESBURG","955","6,625","8,893",75,"102"
"31764 - LESLIE","61","348","501",70,"95"
"31765 - MEIGS","121","743","1,005",74,"101"
"31768 - MOULTRIE","1,052","6,026","8,668",70,"95"
"31771 - NORMAN PARK","253","1,659","2,229",74,"102"
"31772 - OAKFIELD","21","126","181",70,"95"
"31773 - OCHLOCKNEE","109","1,212","1,714",71,"97"
"31774 - OCILLA","317","1,676","2,445",69,"94"
"31775 - OMEGA","121","736","1,009",73,"100"
"31778 - PAVO","90","739","1,027",72,"98"
"31779 - PELHAM","376","1,927","2,629",73,"100"
"31781 - POULAN","60","361","567",64,"87"
"31783 - REBECCA","59","270","387",70,"95"
"31784 - SALE CITY","40","192","260",74,"101"
"31787 - SMITHVILLE","81","541","699",77,"106"
"31788 - MOULTRIE","465","2,752","3,748",73,"100"
"31789 - SUMNER","82","420","550",76,"104"
"31790 - SYCAMORE","111","492","716",69,"94"
"31791 - SYLVESTER","571","3,301","4,640",71,"97"
"31793 - TIFTON","403","2,537","3,472",73,"100"
"31794 - TIFTON","1,300","7,238","10,529",69,"94"
"31795 - TY TY","97","509","739",69,"94"
"31796 - WARWICK","66","322","440",73,"100"
"31798 - WRAY","60","306","476",64,"88"
"39813 - ARLINGTON","160","444","674",66,"90"
"39826 - BRONWOOD","35","120","154",78,"106"
"39837 - COLQUITT","231","1,842","2,329",79,"108"
"39841 - DAMASCUS","78","226","334",68,"92"
"39842 - DAWSON","452","2,056","2,954",70,"95"
"39846 - EDISON","119","475","702",68,"92"
"39862 - LEARY","81","298","406",73,"100"
"39866 - MORGAN","74","343","551",62,"85"
"39870 - NEWTON","112","578","856",68,"92"
"39877 - PARROTT","28","192","278",69,"94"
"39886 - SHELLMAN","60","318","505",63,"86"
"01008 - BLANDFORD","50","442","663",67,"91"
"01026 - CUMMINGTON","46","306","401",76,"104"
"01201 - PITTSFIELD","849","14,467","19,615",74,"101"
"01220 - ADAMS","170","2,819","3,634",78,"106"
"01222 - ASHLEY FALLS","10","169","326",52,"71"
"01223 - BECKET","51","749","924",81,"111"
"01224 - BERKSHIRE","6","106","140",76,"103"
"01225 - CHESHIRE","59","1,097","1,385",79,"108"
"01226 - DALTON","115","1,963","2,660",74,"101"
"01230 - GREAT BARRINGTON","145","2,429","3,136",78,"106"
"01235 - HINSDALE","60","985","1,201",82,"112"
"01236 - HOUSATONIC","44","630","924",68,"93"
"01237 - LANESBOROUGH","34","463","716",65,"88"
"01238 - LEE","128","2,074","2,905",71,"97"
"01240 - LENOX","109","1,502","2,085",72,"98"
"01245 - MONTEREY","16","237","333",71,"97"
"01247 - NORTH ADAMS","269","5,188","7,124",73,"99"
"01253 - OTIS","24","376","611",62,"84"
"01254 - RICHMOND","23","335","439",76,"104"
"01255 - SANDISFIELD","15","244","327",75,"102"
"01256 - SAVOY","16","254","311",82,"111"
"01257 - SHEFFIELD","42","624","928",67,"92"
"01258 - SOUTH EGREMONT","13","254","326",78,"106"
"01259 - SOUTHFIELD","20","299","350",85,"117"
"01266 - WEST STOCKBRIDGE","36","469","617",76,"104"
"01267 - WILLIAMSTOWN","141","2,305","3,322",69,"95"
"01270 - WINDSOR","17","279","336",83,"113"
"01343 - DRURY","4","58","81",72,"98"
"01367 - ROWE","12","115","145",79,"108"
"05148 - LONDONDERRY","9","316","664",48,"65"
"05152 - PERU","10","109","147",74,"101"
"05201 - BENNINGTON","265","4,719","6,307",75,"102"
"05250 - ARLINGTON","54","885","1,272",70,"95"
"05251 - DORSET","16","313","534",59,"80"
"05252 - EAST ARLINGTON","8","126","193",65,"89"
"05253 - EAST DORSET","18","253","318",80,"109"
"05255 - MANCHESTER CENTER","81","1,521","1,858",82,"112"
"05257 - NORTH BENNINGTON","31","530","874",61,"83"
"05260 - NORTH POWNAL","6","102","179",57,"78"
"05261 - POWNAL","47","853","1,105",77,"105"
"05262 - SHAFTSBURY","42","769","1,007",76,"104"
"05340 - BONDVILLE","23","224","295",76,"104"
"05343 - JAMAICA","7","327","435",75,"103"
"05350 - READSBORO","14","242","395",61,"84"
"05352 - STAMFORD","14","202","269",75,"103"
"05363 - WILMINGTON","13","607","882",69,"94"
"05761 - PAWLET","32","337","432",78,"106"
"05775 - WEST PAWLET","19","197","295",67,"91"
"05776 - WEST RUPERT","6","108","123",88,"120"
"12007 - ALCOVE","3","55","55",100,"137"
"12008 - ALPLAUS","4","53","158",34,"46"
"12009 - ALTAMONT","119","2,202","3,031",73,"99"
"12010 - AMSTERDAM","478","9,057","12,287",74,"101"
"12015 - ATHENS","55","1,007","1,360",74,"101"
"12017 - AUSTERLITZ","10","130","183",71,"97"
"12018 - AVERILL PARK","117","2,166","2,998",72,"99"
"12019 - BALLSTON LAKE","220","4,572","5,851",78,"107"
"12020 - BALLSTON SPA","454","10,598","13,209",80,"110"
"12022 - BERLIN","19","350","469",75,"102"
"12023 - BERNE","32","562","687",82,"112"
"12024 - BRAINARD","3","43","102",42,"58"
"12025 - BROADALBIN","84","1,456","1,988",73,"100"
"12027 - BURNT HILLS","64","1,264","1,537",82,"112"
"12028 - BUSKIRK","19","355","438",81,"111"
"12029 - CANAAN","18","254","337",75,"103"
"12031 - CARLISLE","6","95","121",79,"107"
"12032 - CAROGA LAKE","19","201","301",67,"91"
"12033 - CASTLETON ON HUDSON","124","2,315","2,990",77,"106"
"12035 - CENTRAL BRIDGE","21","365","429",85,"116"
"12036 - CHARLOTTEVILLE","6","52","52",100,"137"
"12037 - CHATHAM","72","1,142","1,625",70,"96"
"12041 - CLARKSVILLE","3","57","95",60,"82"
"12042 - CLIMAX","10","183","247",74,"101"
"12043 - COBLESKILL","125","2,234","2,968",75,"103"
"12046 - COEYMANS HOLLOW","11","196","299",66,"89"
"12047 - COHOES","321","5,896","8,339",71,"97"
"12051 - COXSACKIE","64","1,153","1,450",80,"109"
"12052 - CROPSEYVILLE","25","472","569",83,"113"
"12053 - DELANSON","66","1,193","1,637",73,"99"
"12054 - DELMAR","261","4,779","6,370",75,"102"
"12056 - DUANESBURG","29","536","922",58,"79"
"12057 - EAGLE BRIDGE","25","500","649",77,"105"
"12058 - EARLTON","18","359","440",82,"111"
"12059 - EAST BERNE","22","508","733",69,"95"
"12060 - EAST CHATHAM","22","366","565",65,"88"
"12061 - EAST GREENBUSH","128","2,671","3,402",79,"107"
"12062 - EAST NASSAU","22","439","674",65,"89"
