STUDY NAME: Fall 2020 SimmonsLOCAL,,,,,
STUDY WEIGHT TYPE: Household,,,,,
BASE: Study Universe,,,,,
TARGET: MEAT ALTERNATIVES - HH USES?: NO,,,,,
,,,,,
Geographies,Target Sample,Target Weighted,Base Weighted,Horizontal %,Index
"75421 - BROOKSTON","7","382","495",77,"105"
"75422 - CAMPBELL","13","957","1,130",85,"116"
"75423 - CELESTE","15","903","1,138",79,"108"
"75424 - BLUE RIDGE","17","1,620","1,826",89,"121"
"75426 - CLARKSVILLE","29","1,404","2,262",62,"85"
"75428 - COMMERCE","53","3,550","4,715",75,"103"
"75431 - COMO","18","456","808",56,"77"
"75432 - COOPER","17","1,037","1,243",83,"114"
"75433 - CUMBY","14","822","1,068",77,"105"
"75435 - DEPORT","7","373","535",70,"95"
"75436 - DETROIT","11","599","827",72,"99"
"75437 - DIKE","8","506","567",89,"122"
"75438 - DODD CITY","6","361","586",62,"84"
"75439 - ECTOR","6","273","346",79,"108"
"75440 - EMORY","26","1,604","2,364",68,"93"
"75442 - FARMERSVILLE","40","3,575","4,893",73,"100"
"75446 - HONEY GROVE","16","908","1,399",65,"89"
"75447 - IVANHOE","6","369","369",100,"137"
"75448 - KLONDIKE","4","195","231",84,"115"
"75449 - LADONIA","7","396","470",84,"115"
"75450 - LAKE CREEK","3","197","197",100,"137"
"75452 - LEONARD","22","1,450","1,810",80,"109"
"75453 - LONE OAK","20","1,246","1,579",79,"108"
"75454 - MELISSA","20","1,633","2,522",65,"88"
"75460 - PARIS","112","6,721","9,714",69,"94"
"75462 - PARIS","53","3,360","4,177",80,"110"
"75468 - PATTONVILLE","4","218","432",51,"69"
"75469 - PECAN GAP","2","151","151",100,"137"
"75470 - PETTY","3","221","221",100,"137"
"75471 - PICKTON","11","506","662",76,"104"
"75472 - POINT","15","1,099","1,712",64,"88"
"75473 - POWDERLY","18","1,136","1,460",78,"106"
"75474 - QUINLAN","67","4,857","6,524",74,"102"
"75476 - RAVENNA","5","332","479",69,"95"
"75477 - ROXTON","3","155","362",43,"58"
"75478 - SALTILLO","10","400","446",90,"122"
"75479 - SAVOY","10","447","530",84,"115"
"75481 - SULPHUR BLUFF","7","166","166",100,"137"
"75482 - SULPHUR SPRINGS","111","7,018","9,716",72,"99"
"75486 - SUMNER","8","450","688",65,"89"
"75488 - TELEPHONE","7","371","456",81,"111"
"75490 - TRENTON","14","831","1,093",76,"104"
"75491 - WHITEWRIGHT","304","2,072","2,695",77,"105"
"75492 - WINDOM","3","163","205",80,"109"
"75494 - WINNSBORO","372","3,378","4,641",73,"99"
"75495 - VAN ALSTYNE","334","2,130","2,676",80,"109"
"75496 - WOLFE CITY","15","978","1,064",92,"125"
"75497 - YANTIS","92","1,065","1,463",73,"99"
"75550 - ANNONA","4","225","274",82,"112"
"75554 - AVERY","18","830","1,001",83,"113"
"75751 - ATHENS","69","4,669","6,819",69,"93"
"75752 - ATHENS","34","2,255","3,023",75,"102"
"75754 - BEN WHEELER","27","1,744","2,295",76,"104"
"75756 - BROWNSBORO","20","1,318","1,419",93,"127"
"75758 - CHANDLER","41","2,719","3,852",71,"96"
"75763 - FRANKSTON","32","1,625","2,369",69,"94"
"75770 - LARUE","14","832","1,161",72,"98"
"75778 - MURCHISON","20","1,292","1,626",80,"108"
"75790 - VAN","22","1,392","1,718",81,"111"
"75801 - PALESTINE","84","3,892","5,472",71,"97"
"75803 - PALESTINE","104","5,109","6,568",78,"106"
"75831 - BUFFALO","118","1,587","2,060",77,"105"
"75838 - DONIE","9","215","281",77,"104"
"75839 - ELKHART","34","1,308","1,539",85,"116"
"75840 - FAIRFIELD","32","1,735","2,309",75,"103"
"75844 - GRAPELAND","189","1,394","1,704",82,"112"
"75853 - MONTALBA","8","384","427",90,"123"
"75855 - OAKWOOD","51","893","1,071",83,"114"
"75859 - STREETMAN","6","274","446",61,"84"
"75860 - TEAGUE","32","1,527","2,015",76,"103"
"75861 - TENNESSEE COLONY","49","2,608","3,372",77,"106"
"76001 - ARLINGTON","124","9,308","12,135",77,"105"
"76002 - ARLINGTON","89","7,119","11,090",64,"88"
"76005 - ARLINGTON","7","418","418",100,"137"
"76006 - ARLINGTON","93","7,157","10,627",67,"92"
"76008 - ALEDO","73","5,149","6,100",84,"115"
"76009 - ALVARADO","85","6,190","8,373",74,"101"
"76010 - ARLINGTON","225","15,846","23,547",67,"92"
"76011 - ARLINGTON","101","7,276","10,194",71,"97"
"76012 - ARLINGTON","114","8,107","11,540",70,"96"
"76013 - ARLINGTON","159","11,528","15,083",76,"104"
"76014 - ARLINGTON","121","9,076","13,816",66,"90"
"76015 - ARLINGTON","78","5,584","7,610",73,"100"
"76016 - ARLINGTON","152","10,331","13,272",78,"106"
"76017 - ARLINGTON","181","13,393","18,447",73,"99"
"76018 - ARLINGTON","103","7,678","10,526",73,"100"
"76020 - AZLE","128","9,658","12,408",78,"106"
"76021 - BEDFORD","164","11,624","16,157",72,"98"
"76022 - BEDFORD","60","4,287","6,290",68,"93"
"76023 - BOYD","22","1,750","2,292",76,"104"
"76028 - BURLESON","258","18,398","24,310",76,"103"
"76031 - CLEBURNE","85","5,682","7,412",77,"105"
"76033 - CLEBURNE","126","7,946","10,597",75,"102"
"76034 - COLLEYVILLE","102","7,431","8,896",84,"114"
"76035 - CRESSON","4","287","615",47,"64"
"76036 - CROWLEY","94","6,715","8,528",79,"107"
"76039 - EULESS","158","11,673","15,084",77,"106"
"76040 - EULESS","132","9,398","12,046",78,"107"
"76041 - FORRESTON","1","50","50",100,"137"
"76043 - GLEN ROSE","22","1,490","2,078",72,"98"
"76044 - GODLEY","18","1,091","1,645",66,"91"
"76048 - GRANBURY","115","8,960","10,779",83,"113"
"76049 - GRANBURY","117","9,586","12,103",79,"108"
"76050 - GRANDVIEW","33","2,130","2,640",81,"110"
"76051 - GRAPEVINE","212","15,272","19,858",77,"105"
"76052 - HASLET","67","4,920","6,181",80,"109"
"76053 - HURST","129","8,994","12,175",74,"101"
"76054 - HURST","67","4,198","5,176",81,"111"
"76055 - ITASCA","14","857","1,058",81,"111"
"76058 - JOSHUA","63","4,843","6,944",70,"95"
"76059 - KEENE","18","1,233","1,991",62,"85"
"76060 - KENNEDALE","33","2,455","3,227",76,"104"
"76061 - LILLIAN","2","136","136",100,"137"
"76063 - MANSFIELD","258","17,721","23,055",77,"105"
"76064 - MAYPEARL","4","201","444",45,"62"
"76065 - MIDLOTHIAN","134","9,338","11,745",80,"109"
"76066 - MILLSAP","14","867","1,165",74,"102"
"76067 - MINERAL WELLS","106","6,048","7,603",80,"109"
"76070 - NEMO","4","250","304",82,"112"
"76071 - NEWARK","17","1,011","1,323",76,"104"
"76073 - PARADISE","23","1,745","2,452",71,"97"
"76077 - RAINBOW","6","467","528",88,"121"
"76078 - RHOME","40","2,721","3,197",85,"116"
"76082 - SPRINGTOWN","73","5,504","7,601",72,"99"
"76084 - VENUS","35","2,442","3,345",73,"100"
"76085 - WEATHERFORD","47","3,772","4,909",77,"105"
"76086 - WEATHERFORD","90","6,662","8,812",76,"103"
"76087 - WEATHERFORD","113","9,148","11,325",81,"110"
"76088 - WEATHERFORD","59","4,902","5,972",82,"112"
"76092 - SOUTHLAKE","120","8,091","9,404",86,"117"
"76093 - RIO VISTA","10","692","829",84,"114"
"76102 - FORT WORTH","36","3,132","4,510",69,"95"
"76103 - FORT WORTH","69","4,593","6,771",68,"93"
"76104 - FORT WORTH","72","4,994","8,409",59,"81"
"76105 - FORT WORTH","82","6,031","9,627",63,"86"
"76106 - FORT WORTH","133","9,501","14,303",66,"91"
"76107 - FORT WORTH","153","9,924","12,566",79,"108"
"76108 - FORT WORTH","189","13,125","16,156",81,"111"
"76109 - FORT WORTH","135","9,341","11,943",78,"107"
"76110 - FORT WORTH","152","9,238","12,920",72,"98"
"76111 - FORT WORTH","88","5,814","8,918",65,"89"
"76112 - FORT WORTH","170","11,905","17,833",67,"91"
"76114 - FORT WORTH","155","9,877","12,138",81,"111"
"76115 - FORT WORTH","83","5,750","8,147",71,"96"
"76116 - FORT WORTH","233","16,208","21,628",75,"102"
"76117 - HALTOM CITY","154","10,379","13,772",75,"103"
"76118 - FORT WORTH","68","4,893","6,891",71,"97"
"76119 - FORT WORTH","165","12,018","19,043",63,"86"
"76120 - FORT WORTH","60","4,309","6,549",66,"90"
"76123 - FORT WORTH","97","7,934","10,881",73,"100"
"76126 - FORT WORTH","98","6,522","8,554",76,"104"
"76127 - NAVAL AIR STATION JRB","5","403","403",100,"137"
"76131 - FORT WORTH","112","8,020","10,267",78,"107"
"76132 - FORT WORTH","127","9,502","12,068",79,"107"
"76133 - FORT WORTH","216","15,086","21,555",70,"96"
"76134 - FORT WORTH","94","6,696","10,079",66,"91"
"76135 - FORT WORTH","104","7,214","9,048",80,"109"
"76137 - FORT WORTH","240","17,454","22,929",76,"104"
"76140 - FORT WORTH","110","7,863","10,579",74,"101"
"76148 - FORT WORTH","109","7,648","9,984",77,"105"
"76155 - FORT WORTH","12","886","1,757",50,"69"
"76164 - FORT WORTH","75","4,829","7,087",68,"93"
"76177 - FORT WORTH","31","2,011","2,751",73,"100"
"76179 - FORT WORTH","204","14,682","18,905",78,"106"
"76180 - NORTH RICHLAND HILLS","167","11,834","15,110",78,"107"
"76182 - NORTH RICHLAND HILLS","124","9,358","11,836",79,"108"
"76201 - DENTON","152","14,108","18,603",76,"104"
"76205 - DENTON","83","7,496","10,849",69,"94"
"76207 - DENTON","37","3,446","5,359",64,"88"
"76208 - DENTON","83","7,549","9,205",82,"112"
"76209 - DENTON","114","9,894","13,386",74,"101"
"76210 - DENTON","169","15,273","19,813",77,"105"
"76225 - ALVORD","20","1,223","1,335",92,"125"
"76226 - ARGYLE","70","6,600","8,626",77,"104"
"76227 - AUBREY","85","7,450","10,402",72,"98"
"76230 - BOWIE","645","3,221","4,086",79,"108"
"76233 - COLLINSVILLE","152","1,040","1,401",74,"101"
"76234 - DECATUR","73","4,683","6,365",74,"100"
"76238 - ERA","1","65","65",100,"137"
"76240 - GAINESVILLE","136","8,270","10,921",76,"103"
"76244 - KELLER","215","16,110","20,916",77,"105"
"76247 - JUSTIN","50","4,821","5,848",82,"113"
"76248 - KELLER","134","10,010","13,276",75,"103"
"76249 - KRUM","34","3,254","4,143",79,"107"
"76250 - LINDSAY","5","306","367",83,"114"
"76252 - MUENSTER","15","961","961",100,"137"
"76258 - PILOT POINT","43","2,830","3,288",86,"118"
"76259 - PONDER","11","963","1,474",65,"89"
"76262 - ROANOKE","122","10,358","12,296",84,"115"
"76265 - SAINT JO","91","562","700",80,"110"
"76266 - SANGER","64","5,364","6,340",85,"116"
"76270 - SUNSET","95","618","722",86,"117"
"76271 - TIOGA","96","546","686",80,"109"
"76272 - VALLEY VIEW","25","1,480","1,768",84,"114"
"76273 - WHITESBORO","429","3,324","4,337",77,"105"
"76389 - WINDTHORST","121","590","715",83,"113"
"76401 - STEPHENVILLE","137","8,357","10,984",76,"104"
"76426 - BRIDGEPORT","59","4,147","4,728",88,"120"
"76427 - BRYSON","4","240","339",71,"97"
"76431 - CHICO","15","1,202","1,692",71,"97"
"76433 - BLUFF DALE","10","706","839",84,"115"
"76436 - CARLTON","0","0","92",0,"0"
"76446 - DUBLIN","44","2,607","3,775",69,"94"
"76449 - GRAFORD","9","352","583",60,"82"
"76453 - GORDON","4","301","414",73,"99"
"76455 - GUSTINE","4","188","261",72,"98"
"76457 - HICO","19","1,137","1,482",77,"105"
"76458 - JACKSBORO","32","2,010","2,441",82,"112"
"76459 - JERMYN","0","0","59",0,"0"
"76462 - LIPAN","14","1,103","1,403",79,"107"
"76463 - MINGUS","2","111","184",60,"82"
"76468 - PROCTOR","1","37","37",100,"137"
"76472 - SANTO","4","228","332",69,"94"
"76475 - STRAWN","9","422","613",69,"94"
"76476 - TOLAR","11","840","1,149",73,"100"
"76484 - PALO PINTO","5","277","465",60,"81"
"76486 - PERRIN","14","762","762",100,"137"
"76487 - POOLVILLE","8","691","946",73,"100"
"76525 - EVANT","18","218","287",76,"104"
"76531 - HAMILTON","34","1,808","2,313",78,"107"
"76538 - JONESBORO","18","204","318",64,"88"
"76621 - ABBOTT","7","311","418",74,"102"
"76622 - AQUILLA","5","250","326",77,"105"
"76626 - BLOOMING GROVE","6","380","556",68,"93"
"76627 - BLUM","11","574","714",80,"110"
"76631 - BYNUM","2","137","137",100,"137"
"76633 - CHINA SPRING","106","1,238","1,661",75,"102"
"76634 - CLIFTON","41","2,433","3,186",76,"104"
"76636 - COVINGTON","4","263","441",60,"81"
"76639 - DAWSON","7","328","516",64,"87"
"76641 - FROST","12","632","675",94,"128"
"76645 - HILLSBORO","55","3,474","4,617",75,"103"
"76648 - HUBBARD","11","640","859",75,"102"
"76649 - IREDELL","3","193","298",65,"88"
"76651 - ITALY","16","1,118","1,709",65,"89"
"76652 - KOPPERL","7","397","507",78,"107"
"76660 - MALONE","4","250","308",81,"111"
"76665 - MERIDIAN","10","627","830",76,"103"
"76666 - MERTENS","0","0","57",0,"0"
"76667 - MEXIA","305","3,159","4,263",74,"101"
"76670 - MILFORD","10","604","667",91,"124"
"76671 - MORGAN","12","833","935",89,"122"
"76673 - MOUNT CALM","11","451","551",82,"112"
"76676 - PENELOPE","3","203","203",100,"137"
"76679 - PURDON","6","486","670",73,"99"
"76681 - RICHLAND","1","81","178",46,"62"
"76689 - VALLEY MILLS","45","1,179","1,358",87,"119"
"76690 - WALNUT SPRINGS","8","491","741",66,"90"
"76692 - WHITNEY","49","3,328","4,392",76,"103"
"76693 - WORTHAM","10","536","727",74,"101"
"52037 - DELMAR","35","354","489",72,"99"
"52060 - MAQUOKETA","287","3,092","3,824",81,"110"
"52064 - MILES","30","293","362",81,"110"
"52069 - PRESTON","55","594","717",83,"113"
"52070 - SABULA","31","321","412",78,"106"
"52071 - SAINT DONATUS","4","42","51",82,"112"
"52074 - SPRAGUEVILLE","11","115","145",79,"108"
"52207 - BALDWIN","14","127","172",74,"101"
"52254 - LOST NATION","32","288","380",76,"103"
"52601 - BURLINGTON","918","9,500","12,425",77,"104"
"52623 - DANVILLE","57","651","795",82,"112"
"52630 - HILLSBORO","32","161","194",83,"113"
"52637 - MEDIAPOLIS","85","890","1,124",79,"108"
"52638 - MIDDLETOWN","9","96","132",73,"99"
"52640 - MORNING SUN","39","362","462",78,"107"
"52644 - MOUNT UNION","11","110","161",68,"93"
"52645 - NEW LONDON","87","913","1,160",79,"107"
"52646 - OAKVILLE","15","74","89",83,"114"
"52649 - SALEM","34","337","370",91,"124"
"52650 - SPERRY","17","194","260",75,"102"
"52653 - WAPELLO","107","1,087","1,365",80,"109"
"52655 - WEST BURLINGTON","131","1,545","1,897",81,"111"
"52656 - WEST POINT","197","721","881",82,"112"
"52658 - WEVER","71","308","421",73,"100"
"52659 - WINFIELD","41","432","595",73,"99"
"52660 - YARMOUTH","6","56","69",81,"111"
"52722 - BETTENDORF","895","11,050","14,067",79,"107"
"52726 - BLUE GRASS","161","1,904","2,353",81,"110"
"52727 - BRYANT","12","112","133",84,"115"
"52729 - CALAMUS","23","215","295",73,"99"
"52730 - CAMANCHE","144","1,561","2,079",75,"103"
"52731 - CHARLOTTE","29","286","369",78,"106"
"52732 - CLINTON","842","9,174","11,647",79,"108"
"52737 - COLUMBUS CITY","12","133","184",72,"99"
"52738 - COLUMBUS JUNCTION","96","938","1,341",70,"95"
"52739 - CONESVILLE","19","233","291",80,"109"
"52742 - DE WITT","225","2,297","2,905",79,"108"
"52745 - DIXON","12","154","201",77,"105"
"52746 - DONAHUE","34","440","541",81,"111"
"52748 - ELDRIDGE","204","2,733","3,473",79,"107"
"52749 - FRUITLAND","26","270","304",89,"121"
"52750 - GOOSE LAKE","23","216","240",90,"123"
"52751 - GRAND MOUND","36","371","432",86,"117"
"52753 - LE CLAIRE","168","1,909","2,314",83,"113"
"52754 - LETTS","43","485","650",75,"102"
"52756 - LONG GROVE","67","774","954",81,"111"
"52759 - MONTPELIER","8","74","99",75,"102"
"52761 - MUSCATINE","805","9,329","12,079",77,"105"
"52765 - NEW LIBERTY","14","171","217",79,"108"
"52768 - PRINCETON","43","463","544",85,"116"
"52769 - STOCKTON","19","192","255",75,"103"
"52771 - TEEDS GROVE","3","33","33",100,"137"
"52773 - WALCOTT","72","765","924",83,"113"
"52777 - WHEATLAND","47","409","540",76,"103"
"52801 - DAVENPORT","37","508","667",76,"104"
"52802 - DAVENPORT","294","3,727","4,963",75,"103"
"52803 - DAVENPORT","658","7,750","10,496",74,"101"
"52804 - DAVENPORT","709","9,136","11,921",77,"105"
"52806 - DAVENPORT","641","8,589","11,636",74,"101"
"52807 - DAVENPORT","359","4,555","5,752",79,"108"
"61001 - APPLE RIVER","36","368","496",74,"101"
"61014 - CHADWICK","39","394","596",66,"90"
"61025 - EAST DUBUQUE","154","1,614","1,940",83,"114"
"61028 - ELIZABETH","66","652","813",80,"109"
"61036 - GALENA","239","2,324","2,771",84,"114"
"61041 - HANOVER","43","473","649",73,"99"
"61044 - KENT","8","56","77",73,"99"
"61046 - LANARK","84","828","1,067",78,"106"
"61048 - LENA","205","1,341","1,654",81,"111"
"61051 - MILLEDGEVILLE","51","440","554",79,"108"
"61053 - MOUNT CARROLL","109","1,039","1,230",85,"115"
"61062 - PEARL CITY","103","628","785",80,"109"
"61064 - POLO","218","1,246","1,491",84,"114"
"61071 - ROCK FALLS","424","4,333","5,573",78,"106"
"61074 - SAVANNA","147","1,495","1,875",80,"109"
"61075 - SCALES MOUND","29","278","333",84,"114"
"61078 - SHANNON","50","418","534",78,"107"
"61081 - STERLING","690","6,638","8,347",80,"109"
"61085 - STOCKTON","118","1,129","1,443",78,"107"
"61087 - WARREN","48","471","646",73,"100"
"61089 - WINSLOW","51","269","345",78,"106"
"61201 - ROCK ISLAND","1,064","12,186","16,456",74,"101"
"61230 - ALBANY","33","315","432",73,"100"
"61231 - ALEDO","178","1,744","2,299",76,"104"
"61232 - ANDALUSIA","48","476","598",80,"109"
"61234 - ANNAWAN","38","365","502",73,"99"
"61235 - ATKINSON","43","431","562",77,"105"
"61238 - CAMBRIDGE","123","1,106","1,353",82,"112"
"61239 - CARBON CLIFF","20","253","358",71,"96"
"61240 - COAL VALLEY","165","1,700","2,186",78,"106"
"61241 - COLONA","212","2,126","2,757",77,"105"
"61242 - CORDOVA","38","406","495",82,"112"
"61243 - DEER GROVE","9","82","121",68,"93"
"61244 - EAST MOLINE","630","7,289","9,526",77,"104"
"61250 - ERIE","75","796","1,064",75,"102"
"61251 - FENTON","13","128","149",86,"117"
"61252 - FULTON","180","1,778","2,247",79,"108"
"61254 - GENESEO","338","3,587","4,506",80,"109"
"61256 - HAMPTON","78","887","1,185",75,"102"
"61257 - HILLSDALE","36","340","424",80,"109"
"61258 - HOOPPOLE","2","20","37",54,"74"
"61259 - ILLINOIS CITY","34","335","446",75,"103"
"61260 - JOY","34","327","377",87,"118"
"61261 - LYNDON","29","286","334",86,"117"
"61262 - LYNN CENTER","40","372","449",83,"113"
"61264 - MILAN","302","3,379","4,362",78,"106"
"61265 - MOLINE","1,213","14,456","18,241",79,"108"
"61270 - MORRISON","233","2,208","2,765",80,"109"
"61272 - NEW BOSTON","43","462","605",76,"104"
"61273 - ORION","92","888","1,139",78,"106"
"61274 - OSCO","13","114","142",80,"110"
"61275 - PORT BYRON","117","1,384","1,734",80,"109"
"61277 - PROPHETSTOWN","107","1,043","1,335",78,"107"
"61279 - REYNOLDS","26","259","350",74,"101"
"61281 - SHERRARD","99","965","1,177",82,"112"
"61282 - SILVIS","211","2,708","3,460",78,"107"
"61283 - TAMPICO","57","492","630",78,"107"
"61284 - TAYLOR RIDGE","79","776","937",83,"113"
"61285 - THOMSON","48","436","526",83,"113"
"61312 - ARLINGTON","26","219","261",84,"115"
"61314 - BUDA","31","280","341",82,"112"
"61320 - DALZELL","20","215","275",78,"107"
"61329 - LADD","45","427","486",88,"120"
"61330 - LA MOILLE","55","453","615",74,"101"
"61337 - MALDEN","26","264","342",77,"105"
"61344 - MINERAL","16","141","184",77,"105"
"61345 - NEPONSET","25","223","313",71,"97"
"61349 - OHIO","34","293","377",78,"106"
"61356 - PRINCETON","384","3,908","4,910",80,"109"
"61361 - SHEFFIELD","48","437","511",86,"117"
"61362 - SPRING VALLEY","198","2,047","2,572",80,"109"
"61368 - TISKILWA","50","458","591",78,"106"
"61376 - WALNUT","79","748","885",85,"115"
"61379 - WYANET","45","448","609",74,"100"
"61401 - GALESBURG","1,098","10,450","13,578",77,"105"
"61410 - ABINGDON","126","1,167","1,509",77,"106"
"61412 - ALEXIS","54","460","579",79,"108"
"61413 - ALPHA","37","323","450",72,"98"
"61414 - ALTONA","33","271","341",80,"108"
"61415 - AVON","74","477","653",73,"100"
"61417 - BERWICK","9","82","101",81,"111"
"61418 - BIGGSVILLE","24","203","263",77,"105"
"61421 - BRADFORD","77","514","585",88,"120"
"61423 - CAMERON","24","187","232",81,"110"
"61425 - CARMAN","34","260","318",82,"112"
"61428 - DAHINDA","28","242","338",72,"98"
"61430 - EAST GALESBURG","30","259","382",68,"93"
"61434 - GALVA","105","1,082","1,353",80,"109"
"61435 - GERLAW","4","35","64",55,"75"
"61436 - GILSON","29","265","325",82,"111"
"61437 - GLADSTONE","29","258","312",83,"113"
"61442 - KEITHSBURG","26","210","298",71,"96"
"61443 - KEWANEE","400","4,262","5,590",76,"104"
"61447 - KIRKWOOD","30","257","307",84,"114"
"61448 - KNOXVILLE","103","1,075","1,309",82,"112"
"61449 - LA FAYETTE","16","114","165",69,"94"
"61450 - LA HARPE","113","572","717",80,"109"
"61453 - LITTLE YORK","37","305","428",71,"97"
"61454 - LOMAX","23","306","403",76,"104"
"61458 - MAQUON","28","213","301",71,"97"
"61460 - MEDIA","19","159","213",75,"102"
"61462 - MONMOUTH","355","3,343","4,426",76,"103"
"61465 - NEW WINDSOR","37","365","448",82,"111"
"61466 - NORTH HENDERSON","9","82","109",75,"103"
"61467 - ONEIDA","40","323","392",82,"112"
"61468 - OPHIEM","1","9","9",100,"137"
"61469 - OQUAWKA","64","613","734",84,"114"
"61472 - RIO","28","210","261",81,"110"
"61473 - ROSEVILLE","58","465","591",79,"107"
"61474 - SAINT AUGUSTINE","6","48","80",60,"82"
"61475 - SCIOTA","18","63","79",80,"109"
"61476 - SEATON","19","162","214",76,"103"
"61478 - SMITHSHIRE","5","42","82",51,"70"
"61480 - STRONGHURST","31","312","401",78,"106"
"61485 - VICTORIA","22","193","211",92,"125"
"61486 - VIOLA","47","444","581",76,"104"
"61488 - WATAGA","39","328","408",80,"110"
"61489 - WILLIAMSFIELD","28","258","321",80,"110"
"61490 - WOODHULL","39","371","469",79,"108"
"61529 - ELMWOOD","73","745","1,014",74,"100"
"61531 - FARMINGTON","132","909","1,109",82,"112"
"61544 - LONDON MILLS","39","235","282",83,"114"
"61560 - PUTNAM","38","287","367",78,"107"
"61572 - YATES CITY","35","308","385",80,"109"
"62330 - DALLAS CITY","123","533","667",80,"109"
"43009 - CABLE","37","515","782",66,"90"
"43072 - SAINT PARIS","124","1,903","2,446",78,"106"
"43078 - URBANA","398","5,822","7,837",74,"101"
"43084 - WOODSTOCK","16","243","284",86,"117"
"43311 - BELLEFONTAINE","366","5,872","7,741",76,"104"
"43318 - DE GRAFF","68","1,057","1,439",74,"100"
"43319 - EAST LIBERTY","15","240","294",82,"111"
"43324 - HUNTSVILLE","64","932","1,232",76,"103"
"43331 - LAKEVIEW","129","1,731","2,135",81,"111"
"43333 - LEWISTOWN","14","241","251",96,"131"
"43343 - QUINCY","33","546","623",88,"120"
"43348 - RUSSELLS POINT","46","649","866",75,"102"
"43357 - WEST LIBERTY","90","1,330","1,651",81,"110"
"43360 - ZANESFIELD","25","416","604",69,"94"
"45302 - ANNA","69","1,063","1,464",73,"99"
"45303 - ANSONIA","42","624","846",74,"101"
"45304 - ARCANUM","153","2,241","2,821",79,"108"
"45305 - BELLBROOK","155","2,673","3,580",75,"102"
"45306 - BOTKINS","53","673","800",84,"115"
"45308 - BRADFORD","92","1,427","1,796",80,"108"
"45309 - BROOKVILLE","262","4,298","5,268",82,"111"
"45311 - CAMDEN","132","2,008","2,442",82,"112"
"45312 - CASSTOWN","25","453","549",83,"113"
"45314 - CEDARVILLE","115","2,061","2,534",81,"111"
"45315 - CLAYTON","84","1,584","1,904",83,"114"
"45317 - CONOVER","25","394","502",79,"107"
"45318 - COVINGTON","117","1,944","2,291",85,"116"
"45320 - EATON","329","5,038","6,175",82,"111"
"45321 - ELDORADO","21","302","361",84,"114"
"45322 - ENGLEWOOD","357","6,416","8,169",79,"107"
"45323 - ENON","120","1,799","2,363",76,"104"
"45324 - FAIRBORN","759","13,051","17,492",75,"102"
"45325 - FARMERSVILLE","51","920","1,075",86,"117"
"45326 - FLETCHER","26","404","479",84,"115"
"45331 - GREENVILLE","504","7,217","9,390",77,"105"
"45332 - HOLLANSBURG","17","244","271",90,"123"
"45333 - HOUSTON","25","371","410",91,"124"
"45334 - JACKSON CENTER","43","580","801",72,"99"
"45337 - LAURA","39","641","871",74,"100"
"45338 - LEWISBURG","117","1,700","2,047",83,"113"
"45339 - LUDLOW FALLS","33","477","624",76,"104"
"45340 - MAPLEWOOD","13","242","359",67,"92"
"45341 - MEDWAY","82","1,159","1,519",76,"104"
"45342 - MIAMISBURG","641","11,419","14,520",79,"107"
"45344 - NEW CARLISLE","370","5,332","6,620",81,"110"
"45345 - NEW LEBANON","136","2,382","2,731",87,"119"
"45346 - NEW MADISON","43","583","824",71,"97"
"45347 - NEW PARIS","100","1,377","1,705",81,"110"
"45348 - NEW WESTON","16","200","257",78,"106"
"45356 - PIQUA","534","8,273","10,471",79,"108"
"45359 - PLEASANT HILL","41","646","774",84,"114"
"45362 - ROSSBURG","31","420","521",81,"110"
"45363 - RUSSIA","28","377","535",71,"96"
"45365 - SIDNEY","586","9,002","11,906",76,"103"
"45368 - SOUTH CHARLESTON","97","1,414","2,026",70,"95"
"45369 - SOUTH VIENNA","62","1,003","1,279",78,"107"
"45370 - SPRING VALLEY","57","862","1,134",76,"104"
"45371 - TIPP CITY","385","6,334","7,658",83,"113"
"45373 - TROY","681","10,948","14,064",78,"106"
"45377 - VANDALIA","251","4,682","5,919",79,"108"
"45380 - VERSAILLES","122","1,703","1,963",87,"118"
"45381 - WEST ALEXANDRIA","103","1,699","2,064",82,"112"
"45382 - WEST MANCHESTER","27","382","519",74,"100"
"45383 - WEST MILTON","134","2,200","2,821",78,"106"
"45385 - XENIA","758","13,048","16,866",77,"106"
"45387 - YELLOW SPRINGS","113","1,600","2,081",77,"105"
"45388 - YORKSHIRE","15","227","294",77,"105"
"45390 - UNION CITY","79","1,179","1,402",84,"115"
"45402 - DAYTON","233","3,655","5,569",66,"90"
"45403 - DAYTON","321","5,123","6,887",74,"102"
"45404 - DAYTON","200","3,447","4,488",77,"105"
"45405 - DAYTON","320","5,373","8,529",63,"86"
"45406 - DAYTON","431","6,238","9,548",65,"89"
"45409 - DAYTON","288","4,927","6,073",81,"111"
"45410 - DAYTON","346","5,044","6,879",73,"100"
"45414 - DAYTON","423","6,823","9,063",75,"103"
"45415 - DAYTON","230","3,839","5,198",74,"101"
"45416 - DAYTON","107","1,700","2,411",71,"96"
"45417 - DAYTON","549","8,581","13,408",64,"87"
"45419 - DAYTON","363","4,706","5,789",81,"111"
"45420 - DAYTON","539","8,326","10,804",77,"105"
"45424 - DAYTON","857","14,498","19,009",76,"104"
"45426 - DAYTON","255","4,557","6,543",70,"95"
"45429 - DAYTON","545","8,249","10,556",78,"107"
"45430 - DAYTON","147","2,393","2,856",84,"114"
"45431 - DAYTON","471","8,368","11,083",76,"103"
"45432 - DAYTON","288","4,766","5,891",81,"110"
